_type,evt_block_time,evt_index,index,start,place_in_line,amount,price_per_pod,filled_beans,_from,_to,weather,yield_to_maturity,amount_classification
pod-order-filled,2022-02-20T02:12:44+00:00,36,26258981.750842,0,3276599.617392,575.995631,0.55,316.79759705,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,14.3699999972548865,7.9034999984901876,"< 10,000 pods"
pod-order-filled,2022-02-20T02:17:24+00:00,136,25475014.033485,0,2492631.900035,529.81624,0.55,291.3989320,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,13.3100000000000000,7.3205000000000000,"< 10,000 pods"
pod-order-filled,2022-02-20T18:13:26+00:00,441,25471822.591753,0,2489440.458303,529.441732,0.55,291.19295260,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,13.1500000000000000,7.2325000000000000,"< 10,000 pods"
pod-order-filled,2022-02-22T00:15:50+00:00,250,25354186.061189,0,2345434.460969,500.635194,0.55,275.34935670,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,12.6799999827370863,6.9739999905053975,"< 10,000 pods"
pod-order-filled,2022-02-22T00:19:25+00:00,289,25353686.585833,0,2344934.985613,499.475356,0.55,274.71144580,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,12.6799999979695578,6.9739999988832568,"< 10,000 pods"
pod-listing-filled,2022-02-22T13:34:02+00:00,90,122173282.679601,0,99164531.079381,64805.134412,0.08,5184.41075296,\x22aa1f4173b826451763ebfce22cf54a0603163c,,23.6399999998692731,1.8911999999895418,"< 100,000 pods"
pod-listing-filled,2022-02-22T17:03:02+00:00,150,122238087.814013,0,99228771.127866,122328.3945,0.08,9786.271560,\x22aa1f4173b826451763ebfce22cf54a0603163c,,,,"> 100,000 pods"
pod-order-filled,2022-02-23T19:26:37+00:00,70,25348203.699905,3.248309,2328165.512653,483.681672,0.55,266.02491960,\x5a57107a58a0447066c376b211059352b617c3ba,\x3efcb1c1b64e2ddd3ff1cab28ad4e5ba9cc90c1c,12.6699999999804388,6.9684999999892413,"< 10,000 pods"
pod-order-filled,2022-02-24T11:07:13+00:00,250,51480878.285016,1226555.998095,29687392.84755,312607.15245,0.12,37512.8582940,\x8d06ffb1500343975571cc0240152c413d803778,\x0872fcfe9c10993c0e55bb0d0c61c327933d6549,22.6999999994890950,2.7239999999386914,"> 100,000 pods"
pod-listing-filled,2022-02-24T19:52:20+00:00,360,93475780.742273,0,70455739.306712,3745.346177,0.09,337.08115593,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,23.7800000000000000,2.1402000000000000,"< 10,000 pods"
pod-listing-filled,2022-02-26T12:08:55+00:00,91,663099266.111562,0,640071095.131733,4000.480096,0.001,4.000480096,\xc2820f702ef0fbd8842c5ce8a4fcac5315593732,,66.2599999999798334,0.06625999999997983344,"< 10,000 pods"
pod-order-filled,2022-02-26T13:06:59+00:00,107,131492704.901115,0,108464533.921286,66346.441237,0.03,1990.39323711,\x297751960dad09c6d38b73538c1cce45457d796d,\xd3c1e750b5664170f4af828145295b678bafd460,23.8800000000000000,0.71639999999999999999,"< 100,000 pods"
pod-order-filled,2022-02-26T13:58:31+00:00,20,128221268.01759,4948.467499,105198045.50526,33653.558763,0.03,1009.60676289,\x297751960dad09c6d38b73538c1cce45457d796d,\xd3c1e750b5664170f4af828145295b678bafd460,23.8699999995561673,0.71609999998668501900,"< 50,000 pods"
pod-order-filled,2022-02-27T01:03:23+00:00,32,167963234.163137,38791.043522,144960099.998673,66666.666666,0.03,1999.99999998,\x297751960dad09c6d38b73538c1cce45457d796d,\x0b8e605a7446801ae645e57de5aabbc251cd1e3c,23.4099999999991142,0.70229999999997342600,"< 100,000 pods"
pod-listing-filled,2022-02-27T01:20:44+00:00,181,93479526.08845,0,70437600.880464,302.105711,0.09,27.18951399,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"< 10,000 pods"
pod-listing-filled,2022-02-27T06:53:18+00:00,460,36321398.489467,0,13279473.281481,2138.743042,0.38,812.72235596,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-03-01T22:38:26+00:00,156,93479828.194161,0,70400436.751514,50949.720322,0.09,4585.47482898,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"< 100,000 pods"
pod-listing-filled,2022-03-01T22:46:21+00:00,406,46865951.762378,0,23786560.319731,2349.612372,0.25,587.40309300,\x521415eec0f5bec71704aaaf9ae0afe70323ffab,,19.5599999993010276,4.8899999998252569,"< 10,000 pods"
pod-listing-filled,2022-03-01T23:34:48+00:00,295,93530777.914483,0,70451386.471836,478845.0219,0.09,43096.051971,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"> 100,000 pods"
pod-listing-filled,2022-03-01T23:41:00+00:00,607,28014831.579668,0,4935440.137021,1632.653061,0.49,799.99999989,\xeafc0e4acf147e53398a4c9ae5f15950332cce06,,,,"< 10,000 pods"
pod-listing-filled,2022-03-02T01:22:09+00:00,257,94009622.936383,0,70926272.958571,64911.823433,0.09,5842.06410897,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"< 100,000 pods"
pod-listing-filled,2022-03-02T01:23:40+00:00,350,94074534.759816,0,70991184.782004,161247.227588,0.09,14512.25048292,\x04eb6206b41cf3dee5f034927d75cd462e58533b,,,,"> 100,000 pods"
